Preprocessing,Model,MSE,R^2
None,Linear Regression,22.15381517479242,0.4124836624538457
None,Random Forest,3.5815973380503134,0.905016497880208
None,Gradient Boosting,7.328087498168014,0.8056600592641816
None,K-Neighbors Regressor,10.705982285115303,0.7160787226778926
None,Decision Tree,6.679806079664571,0.8228523993506759
None,Support Vector Regressor,20.71238629372072,0.4507101715385696
StandardScaler,Linear Regression,22.153815174792395,0.4124836624538464
StandardScaler,Random Forest,3.579410477201257,0.9050744931494934
StandardScaler,Gradient Boosting,7.328087498168014,0.8056600592641816
StandardScaler,K-Neighbors Regressor,11.308856289308176,0.7000905813961054
StandardScaler,Decision Tree,6.637193396226415,0.8239824822510282
StandardScaler,Support Vector Regressor,16.701596874860986,0.5570757926040808
MinMaxScaler,Linear Regression,22.153815174792395,0.4124836624538464
MinMaxScaler,Random Forest,3.5818743632075463,0.9050091512085625
MinMaxScaler,Gradient Boosting,7.328087498168014,0.8056600592641816
MinMaxScaler,K-Neighbors Regressor,11.047482704402517,0.7070221753506225
MinMaxScaler,Decision Tree,6.710754716981132,0.8220316454577321
MinMaxScaler,Support Vector Regressor,15.47623552811454,0.5895722183858689
PolynomialFeatures,Linear Regression,18.942526853868664,0.49764661692593215
PolynomialFeatures,Random Forest,4.031980124737945,0.893072404131984
PolynomialFeatures,Gradient Boosting,7.010249848164005,0.8140890729844508
PolynomialFeatures,K-Neighbors Regressor,10.76620964360587,0.714481500853964
PolynomialFeatures,Decision Tree,6.994599056603773,0.8145041299696525
PolynomialFeatures,Support Vector Regressor,21.021398999636236,0.44251519420386265
